Random Seed,NSamples,Feature,Shapley Value,Entity,Tolerance
42,32000,p_avg_rss12_normalized,0.033105002982275866,cycling_1,0.05
42,32000,p_var_rss12_normalized,0.061706342938400355,cycling_1,0.05
42,32000,p_avg_rss13_normalized,0.027880644940194682,cycling_1,0.05
42,32000,p_var_rss13_normalized,0.0886441644458543,cycling_1,0.05
42,32000,p_avg_rss23_normalized,0.06550947541282293,cycling_1,0.05
42,32000,p_var_rss23_normalized,0.105469205620743,cycling_1,0.05
42,32000,Pruned Events,0.060332725090639916,cycling_1,0.05
42,32000,p_avg_rss12_normalized,0.02966696655466447,cycling_1,0.075
42,32000,p_var_rss12_normalized,0.04904812659536091,cycling_1,0.075
42,32000,p_avg_rss13_normalized,0.027674668885412645,cycling_1,0.075
42,32000,p_var_rss13_normalized,0.08040510650191987,cycling_1,0.075
42,32000,p_avg_rss23_normalized,0.0601948572766213,cycling_1,0.075
42,32000,p_var_rss23_normalized,0.10170246894870483,cycling_1,0.075
42,32000,Pruned Events,0.09395536666824711,cycling_1,0.075
42,32000,p_avg_rss12_normalized,0.02930433551470442,cycling_4,0.05
42,32000,p_var_rss12_normalized,0.06727616439263026,cycling_4,0.05
42,32000,p_avg_rss13_normalized,0.055271835625171614,cycling_4,0.05
42,32000,p_var_rss13_normalized,0.0388265182574591,cycling_4,0.05
42,32000,p_avg_rss23_normalized,0.02038187334934871,cycling_4,0.05
42,32000,p_var_rss23_normalized,0.10016708870728794,cycling_4,0.05
42,32000,Pruned Events,0.05654158939917886,cycling_4,0.05
42,32000,p_avg_rss12_normalized,0.029464517178989583,cycling_4,0.075
42,32000,p_var_rss12_normalized,0.0638327133087885,cycling_4,0.075
42,32000,p_avg_rss13_normalized,0.05383775049731841,cycling_4,0.075
42,32000,p_var_rss13_normalized,0.035858187221345414,cycling_4,0.075
42,32000,p_avg_rss23_normalized,0.02009966884340561,cycling_4,0.075
42,32000,p_var_rss23_normalized,0.08513821924016596,cycling_4,0.075
42,32000,Pruned Events,0.0795383489557675,cycling_4,0.075
42,32000,p_avg_rss12_normalized,0.01920726526351202,cycling_6,0.05
42,32000,p_var_rss12_normalized,0.05980617854566797,cycling_6,0.05
42,32000,p_avg_rss13_normalized,-0.008059555008297886,cycling_6,0.05
42,32000,p_var_rss13_normalized,0.05852027986021266,cycling_6,0.05
42,32000,p_avg_rss23_normalized,0.02256397782337094,cycling_6,0.05
42,32000,p_var_rss23_normalized,0.05403531743657025,cycling_6,0.05
42,32000,Pruned Events,0.06535284125379162,cycling_6,0.05
42,32000,p_avg_rss12_normalized,0.016794052578154098,cycling_6,0.075
42,32000,p_var_rss12_normalized,0.05185861647838637,cycling_6,0.075
42,32000,p_avg_rss13_normalized,-0.006466188672043044,cycling_6,0.075
42,32000,p_var_rss13_normalized,0.05060661644453093,cycling_6,0.075
42,32000,p_avg_rss23_normalized,0.020384582238537896,cycling_6,0.075
42,32000,p_var_rss23_normalized,0.05134171655490287,cycling_6,0.075
42,32000,Pruned Events,0.08690690955235847,cycling_6,0.075
42,32000,p_avg_rss12_normalized,0.01997567301704771,cycling_8,0.05
42,32000,p_var_rss12_normalized,0.049765538033984966,cycling_8,0.05
42,32000,p_avg_rss13_normalized,0.0037076745004881173,cycling_8,0.05
42,32000,p_var_rss13_normalized,0.05500929987146737,cycling_8,0.05
42,32000,p_avg_rss23_normalized,0.03556913967643463,cycling_8,0.05
42,32000,p_var_rss23_normalized,0.04890925274008795,cycling_8,0.05
42,32000,Pruned Events,0.06426610286746712,cycling_8,0.05
42,32000,p_avg_rss12_normalized,0.019185648645673514,cycling_8,0.075
42,32000,p_var_rss12_normalized,0.04617453668089141,cycling_8,0.075
42,32000,p_avg_rss13_normalized,0.003026859249387462,cycling_8,0.075
42,32000,p_var_rss13_normalized,0.04409624490709533,cycling_8,0.075
42,32000,p_avg_rss23_normalized,0.030550970420950924,cycling_8,0.075
42,32000,p_var_rss23_normalized,0.039515374636366216,cycling_8,0.075
42,32000,Pruned Events,0.09465304616661296,cycling_8,0.075
